#SampleID	True_SampleID	Category	Description	Sex	Nest_location	Nest_no	Body_location	Fert_status	Species	MiSeqRun
N4leaf2R2	N4leaf2	leaf	leaf	NA	NA	Nest4	NA	NA	NA	2
N4leaf3R2	N4leaf3	leaf	leaf	NA	NA	Nest4	NA	NA	NA	2
N4out1R2	N4out1	nest-out	nest-out	NA	outside	Nest4	NA	fertilized	leucomystax	2
N4out2R2	N4out2	nest-out	nest-out	NA	outside	Nest4	NA	fertilized	leucomystax	2
N4out3R2	N4out3	nest-out	nest-out	NA	outside	Nest4	NA	fertilized	leucomystax	2
N4PH2O1R2	N4PH2O1	water-enclosure	water	NA	NA	Nest4	NA	NA	NA	2
N4PH2O2R2	N4PH2O2	water-enclosure	water	NA	NA	Nest4	NA	NA	NA	2
N4PH2O3R2	N4PH2O3	water-enclosure	water	NA	NA	Nest4	NA	NA	NA	2
N4WTad1R2	N4WTad1	tadpole-pond	tadpole-pond	NA	NA	Nest4	NA	NA	leucomystax	2
N4WTad2R2	N4WTad2	tadpole-pond	tadpole-pond	NA	NA	Nest4	NA	NA	leucomystax	2
N4WTad3R2	N4WTad3	tadpole-pond	tadpole-pond	NA	NA	Nest4	NA	NA	leucomystax	2
N2-1R2	N2-1	nest-in	nest-in	NA	inside	Nest2	NA	unfertilized	leucomystax	2
N2-2R2	N2-2	nest-in	nest-in	NA	inside	Nest2	NA	unfertilized	leucomystax	2
N2-3R2	N2-3	nest-in	nest-in	NA	inside	Nest2	NA	unfertilized	leucomystax	2
NAR2	NAR2	sterile-swab	sterile-swab	NA	NA	NA	NA	NA	NA	2
